php	0.60	72	0.432 
cpp	1.02	56	0.5712 
rust	1.29	103	1.3287 
perl	1.43	132	1.8876 
go	1.67	145	2.4215 
nim	1.82	87	1.5834 
air	1.87	81	1.5147
awk	2.15	166	3.569 
swift	2.62	55	1.441 
dotnet	2.78	149	4.1422 
lua	2.80	145	4.06 
v	2.90	1395	40.455 
fox	2.93	141	4.1313 
python	3.06	93	2.8458 
java	4.01	549	22.0149 
julia	4.29	335	14.3715 
node	4.33	363	15.7179 
elixir	7.51	766	57.5266 
ruby	8.39	139	11.6621 
pocket	8.78	144	12.6432 
tcl	8.84	144	12.7296 
